FYear,Area,Analysis,CPUE
1956,5AB,AA,99.3
1957,5AB,AA,212.7
1958,5AB,AA,107.3
1959,5AB,AA,159.9
1960,5AB,AA,84.8
1961,5AB,AA,44.5
1962,5AB,AA,58
1963,5AB,AA,51.1
1964,5AB,AA,176.1
1965,5AB,AA,263.4
1966,5AB,AA,210.1
1967,5AB,AA,118.7
1968,5AB,AA,98.7
1969,5AB,AA,50.2
1970,5AB,AA,35.4
1971,5AB,AA,77.5
1972,5AB,AA,201.9
1973,5AB,AA,216
1974,5AB,AA,254.6
1975,5AB,AA,280.3
1976,5AB,AA,257.8
1977,5AB,AA,166.9
1978,5AB,AA,254.4
1979,5AB,AA,275.2
1980,5AB,AA,197.5
1981,5AB,AA,129.6
1982,5AB,AA,93.8
1983,5AB,AA,27.6
1984,5AB,AA,51.8
1985,5AB,AA,44.2
1986,5AB,AA,34.8
1987,5AB,AA,314.3
1988,5AB,AA,203.8
1989,5AB,AA,86.8
1990,5AB,AA,62.9
1991,5AB,AA,185.1
1992,5AB,AA,143.8
1993,5AB,AA,109.8
1994,5AB,AA,47.4
1995,5AB,AA,17.9
1996,5AB,AA,20.2
1997,5AB,AA,27.3
1998,5AB,AA,18.3
1999,5AB,AA,14.4
2000,5AB,AA,7
2001,5AB,AA,14.5
2002,5AB,AA,19.5
2003,5AB,AA,32.8
2004,5AB,AA,47.6
2005,5AB,AA,48.2
2006,5AB,AA,25.8
2007,5AB,AA,11.2
2008,5AB,AA,10.2
2009,5AB,AA,32.4
2010,5AB,AA,97.9
2011,5AB,AA,98.4
2012,5AB,AA,60.1
1956,5AB,AB,99.3
1957,5AB,AB,212.7
1958,5AB,AB,107.3
1959,5AB,AB,159.9
1960,5AB,AB,84.8
1961,5AB,AB,44.5
1962,5AB,AB,58
1963,5AB,AB,51.1
1964,5AB,AB,176.1
1965,5AB,AB,263.4
1966,5AB,AB,210.1
1967,5AB,AB,118.7
1968,5AB,AB,98.7
1969,5AB,AB,50.2
1970,5AB,AB,35.4
1971,5AB,AB,77.5
1972,5AB,AB,201.9
1973,5AB,AB,216
1974,5AB,AB,254.6
1975,5AB,AB,280.3
1976,5AB,AB,257.8
1977,5AB,AB,166.9
1978,5AB,AB,254.4
1979,5AB,AB,275.2
1980,5AB,AB,197.5
1981,5AB,AB,129.6
1982,5AB,AB,93.8
1983,5AB,AB,27.6
1984,5AB,AB,51.8
1985,5AB,AB,44.2
1986,5AB,AB,34.8
1987,5AB,AB,314.3
1988,5AB,AB,203.8
1989,5AB,AB,86.8
1990,5AB,AB,62.9
1991,5AB,AB,185.1
1992,5AB,AB,143.8
1993,5AB,AB,109.8
1994,5AB,AB,47.4
1995,5AB,AB,17.9
1996,5AB,AB,20.2
1997,5AB,AB,27.3
1998,5AB,AB,18.3
1999,5AB,AB,14.4
2000,5AB,AB,7
2001,5AB,AB,53.8
2002,5AB,AB,54
2003,5AB,AB,82.3
2004,5AB,AB,101.5
2005,5AB,AB,86.8
2006,5AB,AB,71.1
2007,5AB,AB,28.1
2008,5AB,AB,30.4
2009,5AB,AB,68.3
2010,5AB,AB,208.4
2011,5AB,AB,192.9
2012,5AB,AB,102.4
1956,5AB,AC,151.3
1957,5AB,AC,293.8
1958,5AB,AC,199.6
1959,5AB,AC,230.9
1960,5AB,AC,129.4
1961,5AB,AC,73.3
1962,5AB,AC,97.3
1963,5AB,AC,87
1964,5AB,AC,275
1965,5AB,AC,371.8
1966,5AB,AC,316.2
1967,5AB,AC,198
1968,5AB,AC,152
1969,5AB,AC,72
1970,5AB,AC,67.4
1971,5AB,AC,112.5
1972,5AB,AC,228.3
1973,5AB,AC,246.1
1974,5AB,AC,280.8
1975,5AB,AC,303
1976,5AB,AC,275.1
1977,5AB,AC,191.5
1978,5AB,AC,298.2
1979,5AB,AC,332.1
1980,5AB,AC,236.8
1981,5AB,AC,165.4
1982,5AB,AC,133
1983,5AB,AC,48
1984,5AB,AC,77.9
1985,5AB,AC,70
1986,5AB,AC,51.8
1987,5AB,AC,374.4
1988,5AB,AC,256.8
1989,5AB,AC,114.8
1990,5AB,AC,90.1
1991,5AB,AC,348.3
1992,5AB,AC,267.8
1993,5AB,AC,223.8
1994,5AB,AC,115.7
1995,5AB,AC,52.8
1996,5AB,AC,50.4
1997,5AB,AC,56.8
1998,5AB,AC,37.7
1999,5AB,AC,36.7
2000,5AB,AC,24.9
2001,5AB,AC,53.8
2002,5AB,AC,54
2003,5AB,AC,82.3
2004,5AB,AC,101.5
2005,5AB,AC,86.8
2006,5AB,AC,71.1
2007,5AB,AC,28.1
2008,5AB,AC,30.4
2009,5AB,AC,68.3
2010,5AB,AC,208.4
2011,5AB,AC,192.9
2012,5AB,AC,102.4
1956,5AB,AD,99.3
1957,5AB,AD,212.7
1958,5AB,AD,107.3
1959,5AB,AD,159.9
1960,5AB,AD,84.8
1961,5AB,AD,44.5
1962,5AB,AD,58
1963,5AB,AD,51.1
1964,5AB,AD,176.1
1965,5AB,AD,263.4
1966,5AB,AD,213.3
1967,5AB,AD,116.8
1968,5AB,AD,99.9
1969,5AB,AD,50.6
1970,5AB,AD,35.9
1971,5AB,AD,78.5
1972,5AB,AD,205.1
1973,5AB,AD,215.4
1974,5AB,AD,254.6
1975,5AB,AD,278.7
1976,5AB,AD,251.5
1977,5AB,AD,160.6
1978,5AB,AD,253.2
1979,5AB,AD,270.7
1980,5AB,AD,200
1981,5AB,AD,128.9
1982,5AB,AD,93.8
1983,5AB,AD,27.4
1984,5AB,AD,49.1
1985,5AB,AD,45
1986,5AB,AD,34.2
1987,5AB,AD,316.2
1988,5AB,AD,203.3
1989,5AB,AD,87.5
1990,5AB,AD,63.3
1991,5AB,AD,187.3
1992,5AB,AD,137.4
1993,5AB,AD,102.7
1994,5AB,AD,43.4
1995,5AB,AD,18.1
1996,5AB,AD,20.5
1997,5AB,AD,28.2
1998,5AB,AD,19.9
1999,5AB,AD,15.2
2000,5AB,AD,7
2001,5AB,AD,11.1
2002,5AB,AD,15.8
2003,5AB,AD,31.6
2004,5AB,AD,47.7
2005,5AB,AD,50.5
2006,5AB,AD,27.5
2007,5AB,AD,11.9
2008,5AB,AD,11.1
2009,5AB,AD,34.7
2010,5AB,AD,100.5
2011,5AB,AD,100.3
2012,5AB,AD,61.7
1956,5AB,GA,49.2
1957,5AB,GA,161.1
1958,5AB,GA,94.5
1959,5AB,GA,117.2
1960,5AB,GA,63.2
1961,5AB,GA,19.2
1962,5AB,GA,31.5
1963,5AB,GA,37
1964,5AB,GA,153.3
1965,5AB,GA,146.6
1966,5AB,GA,161.6
1967,5AB,GA,110.2
1968,5AB,GA,91.7
1969,5AB,GA,39.7
1970,5AB,GA,40.3
1971,5AB,GA,88
1972,5AB,GA,135.7
1973,5AB,GA,108.9
1974,5AB,GA,168.6
1975,5AB,GA,199.7
1976,5AB,GA,165.5
1977,5AB,GA,118.2
1978,5AB,GA,172
1979,5AB,GA,199.2
1980,5AB,GA,118.1
1981,5AB,GA,87.1
1982,5AB,GA,75
1983,5AB,GA,46.8
1984,5AB,GA,58.9
1985,5AB,GA,47.7
1986,5AB,GA,29.7
1987,5AB,GA,162.6
1988,5AB,GA,123.6
1989,5AB,GA,64.2
1990,5AB,GA,61.9
1991,5AB,GA,147.3
1992,5AB,GA,124.2
1993,5AB,GA,109.8
1994,5AB,GA,49.7
1995,5AB,GA,23.1
1996,5AB,GA,21.5
1997,5AB,GA,23.4
1998,5AB,GA,16.9
1999,5AB,GA,15.9
2000,5AB,GA,10.7
2001,5AB,GA,13
2002,5AB,GA,15.5
2003,5AB,GA,23.7
2004,5AB,GA,29.7
2005,5AB,GA,34.7
2006,5AB,GA,25.6
2007,5AB,GA,12.9
2008,5AB,GA,15.1
2009,5AB,GA,25
2010,5AB,GA,52
2011,5AB,GA,57.4
2012,5AB,GA,32.9
1956,5AB,GD,49.2
1957,5AB,GD,161.1
1958,5AB,GD,94.5
1959,5AB,GD,117.2
1960,5AB,GD,63.2
1961,5AB,GD,19.2
1962,5AB,GD,31.5
1963,5AB,GD,37
1964,5AB,GD,153.3
1965,5AB,GD,146.6
1966,5AB,GD,163.5
1967,5AB,GD,108.3
1968,5AB,GD,93.4
1969,5AB,GD,39.7
1970,5AB,GD,40.3
1971,5AB,GD,89.1
1972,5AB,GD,137.7
1973,5AB,GD,105.8
1974,5AB,GD,168.6
1975,5AB,GD,192.5
1976,5AB,GD,160.2
1977,5AB,GD,112.9
1978,5AB,GD,171
1979,5AB,GD,197.4
