year,mean_weight
1956,2.521
1957,2.48
1958,2.274
1959,2.498
1960,2.617
1961,2.514
1962,2.201
1963,1.954
1964,2.443
1965,2.49
1966,2.183
1967,2.581
1968,2.568
1969,2.299
1970,1.867
1971,1.876
1972,1.968
1973,2.294
1974,2.162
1975,2.251
1976,2.194
1977,2.364
1978,2.519
1979,2.354
1980,2.089
1981,2.008
1982,2.196
1983,1.97
1984,1.883
1985,2.031
1986,2.525
1987,1.297
1988,2.074
1989,2.804
1990,3.172
1991,2.594
1992,1.939
1993,2.62
1994,1.772
1995,2.483
1996,1.294
1998,1.812
1999,1.397
2e3,1.833
2001,1.929
2002,2.291
2003,2.001
2004,1.97
2005,2.161
2006,2.146
2007,1.194
2008,1.359
2009,1.332
2010,1.615
2011,2.22
2012,2.62
2013,1.795
2014,1.761
2015,1.973
2016,1.884
2017,3.024
