year,mean_weight
1956,2.349
1957,2.145
1958,2.642
1959,2.414
1960,2.579
1961,2.748
1962,2.886
1963,2.142
1964,2.135
1965,2.442
1966,2.573
1967,2.568
1968,2.712
1969,2.612
1970,2.507
1971,2.702
1972,1.993
1973,2.198
1974,2.141
1975,2.121
1976,2.34
1977,1.962
1978,2.254
1979,2.064
1980,2.104
1981,1.922
1982,2.182
1983,2.506
1984,2.293
1985,2.723
1986,2.273
1987,1.713
1988,2.151
1989,2.493
1990,2.281
1991,2.148
1992,2.479
1993,2.756
1994,3.027
1995,3.027
1996,2.366
1997,2.706
1998,2.582
1999,2.44
2e3,3.188
2001,2.347
2002,2.184
2003,1.926
2004,2.251
2005,2.593
2006,2.734
2007,3.143
2008,2.661
2009,2.26
2010,2.554
2011,2.695
2012,2.879
2013,2.768
2014,2.097
2015,2.217
2016,2.417
2017,2.403
