TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.824,0,0,0,0,0,0.959,0
100,0.838,0,0,0,0,0,0.961,0
200,0.848,0.986,0,0,0,0,0.961,0
300,0.855,1,0,0,0,0,0.962,0
400,0.864,1,0,0,0,0,0.967,0
500,0.869,1,0,0,0,0.001,0.968,0
600,0.877,1,0,0,0,0.001,0.969,0
700,0.882,1,0,0,0,0.001,0.969,0.004
800,0.888,1,0,0,0,0.002,0.969,0.041
900,0.893,1,0,0,0,0.003,0.971,0.168
1000,0.896,1,0,0,0,0.003,0.972,0.38
1100,0.903,1,0,0,0.001,0.004,0.973,0.61
1200,0.905,1,0,0,0.001,0.004,0.973,0.769
1300,0.919,1,0,0,0.001,0.004,0.974,0.883
1400,0.922,1,0,0,0.002,0.004,0.974,0.956
1500,0.927,1,0,0,0.002,0.004,0.974,0.974
