TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.793,0,0,0,0,0.001,0.948,0
100,0.805,0,0,0,0,0.001,0.949,0
200,0.819,0.973,0,0,0,0.002,0.95,0
300,0.833,1,0,0,0,0.002,0.952,0
400,0.845,1,0,0,0,0.002,0.954,0
500,0.852,1,0,0,0,0.003,0.956,0
600,0.856,1,0,0,0,0.004,0.957,0
700,0.864,1,0,0,0.001,0.004,0.96,0.008
800,0.871,1,0,0,0.004,0.004,0.96,0.05
900,0.881,1,0,0,0.005,0.004,0.963,0.171
1000,0.887,1,0,0,0.006,0.004,0.963,0.387
1100,0.895,1,0,0,0.008,0.005,0.965,0.619
1200,0.901,1,0,0,0.012,0.005,0.966,0.776
1300,0.905,1,0,0,0.012,0.006,0.97,0.885
1400,0.912,1,0,0,0.016,0.006,0.972,0.94
1500,0.92,1,0,0,0.018,0.008,0.974,0.963
