TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.8085,0,0,0,0,5e-4,0.9535,0
100,0.8215,0,0,0,0,5e-4,0.955,0
200,0.8335,0.9795,0,0,0,0.001,0.9555,0
300,0.844,1,0,0,0,0.001,0.957,0
400,0.8545,1,0,0,0,0.001,0.9605,0
500,0.8605,1,0,0,0,0.002,0.962,0
600,0.8665,1,0,0,0,0.0025,0.963,0
700,0.873,1,0,0,5e-4,0.0025,0.9645,0.006
800,0.8795,1,0,0,0.002,0.003,0.9645,0.0455
900,0.887,1,0,0,0.0025,0.0035,0.967,0.1695
1000,0.8915,1,0,0,0.003,0.0035,0.9675,0.3835
1100,0.899,1,0,0,0.0045,0.0045,0.969,0.6145
1200,0.903,1,0,0,0.0065,0.0045,0.9695,0.7725
1300,0.912,1,0,0,0.0065,0.005,0.972,0.884
1400,0.917,1,0,0,0.009,0.005,0.973,0.948
1500,0.9235,1,0,0,0.01,0.006,0.974,0.9685
