TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.2775,0,0,0,0,0.848,0.996,0
100,0.3085,0,0,0,0,0.8515,0.996,0
200,0.3385,0,0,0,0,0.8565,0.996,0
300,0.3655,0.0245,0,0,0,0.86,0.996,0
400,0.399,0.8655,0,0,0,0.8655,0.996,0
500,0.433,0.9735,0.002,0,0,0.869,0.996,0
600,0.463,0.9925,0.002,0,0,0.8725,0.996,0
700,0.4955,0.999,0.0025,0,5e-4,0.877,0.996,0
800,0.53,1,0.0025,0,0.0015,0.8825,0.9965,0
900,0.561,1,0.0025,0,0.002,0.8865,0.9965,0
1000,0.594,1,0.0025,0,0.005,0.8895,0.9965,0
1100,0.6185,1,0.0025,0,0.0075,0.8925,0.997,0.001
1200,0.643,1,0.0025,0,0.012,0.8985,0.997,0.011
1300,0.6695,1,0.003,0,0.016,0.903,0.997,0.035
1400,0.6835,1,0.003,0,0.023,0.907,0.9975,0.0965
1500,0.703,1,0.003,0,0.031,0.91,0.998,0.1845
1600,0.7175,1,0.003,0,0.0405,0.913,0.998,0.3045
1700,0.7325,1,0.0035,0,0.056,0.9145,0.998,0.4305
1800,0.7475,1,0.004,0,0.0705,0.9175,0.9985,0.552
1900,0.761,1,0.005,0,0.088,0.9195,0.999,0.6695
2000,0.7745,1,0.006,0,0.1075,0.922,0.9995,0.7645
2100,0.79,1,0.007,0,0.1265,0.9235,0.9995,0.8375
2200,0.8005,1,0.0075,0,0.1485,0.925,0.9995,0.8895
2300,0.813,1,0.009,0,0.175,0.9275,0.9995,0.925
2400,0.826,1,0.0105,0,0.2015,0.932,0.9995,0.949
2500,0.8395,1,0.0115,0,0.2325,0.932,0.9995,0.963
2600,0.849,1,0.0135,0,0.2615,0.935,1,0.9745
2700,0.856,1,0.016,0,0.299,0.938,1,0.982
2800,0.8615,1,0.018,0,0.333,0.939,1,0.9865
2900,0.8695,1,0.019,0,0.375,0.942,1,0.9895
3000,0.876,1,0.021,0,0.409,0.9445,1,0.991
