Stratum No.,1980,1980,1983,1983,1989,1989,1992,1992,1995,1995,1998,1998,2001,2001,Shade
,CDN,US,CDN,US,CDN,US,CDN,US,CDN,US,CDN,US,CDN,US,
10,,15,,7,,,,,,,,,,,
11,38,,,34,,,,,,,,,,,
12,,,32,,,,,,,,,,,,
17N,,,,,,8,,9,,8,,8,,8,
17S,,,,,,27,,27,,24,,26,,25,1
18N,,,,,1,,1,,,,,,,,1
18S,,,,,,31,,20,,12,,20,,14,
19N,,,,,56,,53,,55,,48,,33,,
19S,,,,,,4,,6,,3,,3,,3,
27N,,,,,,2,,1,,2,,2,,2,
27S,,,,,,4,,2,,3,,4,,5,1
28N,,,,,1,,1,,2,,1,,,,1
28S,,,,,,6,,9,,7,,6,,7,
29N,,,,,7,,6,,7,,6,,3,,
29S,,,,,,3,,2,,3,,3,,3,
30,,4,,2,,,,,,,,,,,
31,7,,,11,,,,,,,,,,,
32,,,5,,,,,,,,,,,,
37N,,,,,,,,,,1,,1,,1,1
37S,,,,,,,,,,2,,1,,1,1
38N,,,,,,,,,1,,,,,,1
38S,,,,,,,,,,2,,,,3,1
39,,,,,,,,,6,,4,,2,,1
50,,4,,1,,,,,,,,,,,
51,3,,,10,,,,,,,,,,,
52,,,2,,,,,,,,,,,,
Total,48,23,39,65,65,85,61,76,71,67,59,74,38,72,
